"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2026.06.25	17:15:00	5295.229	5295.229	5293.229	5294.729	1143	6015	1"
"2026.06.25	17:20:00	5294.729	5295.729	5292.729	5293.229	1140	5968	1"
"2026.06.25	17:25:00	5292.729	5294.729	5292.229	5293.729	667	2973	1"
"2026.06.25	17:30:00	5293.729	5295.729	5293.229	5293.729	702	2680	1"
"2026.06.25	17:35:00	5294.229	5295.229	5293.229	5293.729	577	4576	1"
"2026.06.25	17:40:00	5294.229	5295.229	5293.729	5294.229	693	4448	1"
"2026.06.25	17:45:00	5293.729	5294.229	5292.729	5293.229	629	2461	1"
"2026.06.25	17:50:00	5293.229	5295.229	5292.229	5294.729	1294	9220	1"
"2026.06.25	17:55:00	5294.729	5296.229	5293.729	5295.229	707	4595	1"
"2026.06.25	18:00:00	5295.229	5295.729	5294.729	5295.229	390	2299	1"
"2026.06.25	18:05:00	5295.229	5296.729	5294.729	5295.229	500	1856	1"
"2026.06.25	18:10:00	5295.729	5295.729	5293.229	5295.229	647	3263	1"
"2026.06.25	18:15:00	5295.229	5296.229	5292.729	5294.229	886	4786	1"
"2026.06.25	18:20:00	5293.729	5296.729	5292.729	5296.729	482	2778	1"
"2026.06.25	18:25:00	5296.729	5299.229	5294.729	5295.729	991	5719	1"
"2026.06.26	09:00:00	5302.279	5302.279	5288.693	5292.693	15132	49760	1"
"2026.06.26	09:05:00	5292.193	5292.693	5288.193	5291.193	6447	25515	1"
"2026.06.26	09:10:00	5290.693	5293.193	5286.693	5287.693	7332	21526	1"
"2026.06.26	09:15:00	5287.193	5288.193	5280.693	5285.193	10599	39275	1"
"2026.06.26	09:20:00	5284.693	5291.693	5283.693	5290.193	9240	32553	1"
"2026.06.26	09:25:00	5290.693	5292.193	5288.193	5291.193	5850	26303	1"
"2026.06.26	09:30:00	5291.693	5299.193	5290.193	5297.693	9644	43099	1"
"2026.06.26	09:35:00	5298.193	5301.693	5296.693	5298.193	9977	42280	1"
"2026.06.26	09:40:00	5298.193	5298.693	5293.693	5297.693	7398	29278	1"
"2026.06.26	09:45:00	5297.693	5300.193	5296.193	5298.193	5124	17805	1"
"2026.06.26	09:50:00	5298.693	5299.193	5293.193	5295.693	6631	21652	1"
"2026.06.26	09:55:00	5295.693	5296.693	5288.193	5291.193	10139	43168	1"
"2026.06.26	10:00:00	5290.693	5296.193	5289.193	5293.693	8076	31920	1"
"2026.06.26	10:05:00	5294.193	5294.693	5289.693	5293.693	6071	21493	1"
"2026.06.26	10:10:00	5293.693	5296.193	5290.193	5290.693	6948	33088	1"
"2026.06.26	10:15:00	5290.693	5303.693	5290.693	5297.193	15177	59030	1"
"2026.06.26	10:20:00	5297.193	5298.193	5290.193	5290.693	12055	49619	1"
"2026.06.26	10:25:00	5290.693	5292.693	5286.693	5287.693	8532	34267	1"
"2026.06.26	10:30:00	5287.693	5290.693	5285.193	5288.193	10256	36734	1"
